popularity,id,name,album,duration_ms,album_release_date,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artista_id,artista_generos,artista_followers,artista_name,time_signature
33,5qkoBQdn4e0nEEAD50vyaW,Me Juego El Corazón? - Live In Buenos Aires / 2016,Vivo De Pastillas: Locura Y Realidad (Live In Buenos Aires / 2016),204906,2017-11-10,False,0.588,0.93,9,-5.675,1,0.035,0.0315,2.68e-05,0.787,0.377,119.945,0D5U7oXEE4dut2DPyUDLca,"argentine rock,latin alternative,latin rock,rock en espanol,rock nacional",808764,Las Pastillas del Abuelo,4
33,4iac0MBArSbgTVpaHoYZf6,Conmigo Mismo,Conmigo Mismo,221760,2017-07-14,False,0.712,0.757,11,-6.865,0,0.0555,0.137,0.000173,0.233,0.686,99.957,4PJtMqmJX54aKaztYQfFYb,argentine rock,39987,Piti Fernández,4
37,6i3jLIEz1cC1lzBzVEOTyg,Archipiélago,Ahora,218500,2017-06-26,False,0.488,0.269,5,-16.986,0,0.039,0.83,0.00595,0.677,0.307,79.919,1h3H1KWtfAC1YRqYrQmXLF,"argentine alternative rock,argentine indie,argentine rock,chilean indie,latin rock,manso indie,rock en espanol,rock nacional",37276,Luca Bocci,4
63,2dYl2SI3sLyUffzxVBaZBz,Knock Knock,Twicecoaster: Lane 2,195746,2017-02-20,False,0.673,0.968,1,-2.636,0,0.131,0.0242,0.0,0.0587,0.476,129.972,7n2Ycct7Beij7Dj7meI4X0,"k-pop,k-pop girl group",5666867,TWICE,4
59,3ao5U0ksMLvgSoJqOpsgmv,Oh Nanana,Oh Nanana,217891,2017-03-22,True,0.606,0.536,1,-2.431,0,0.53,0.0506,0.0,0.0938,0.614,172.335,5rhznZjKfSxtKVqB0JZtpC,funk carioca,536401,Bonde R300,5
57,6VXpxDMdPfMrFF8UmZRm87,Encaixa,Encaixa,169364,2017-07-28,True,0.67,0.789,7,-4.629,1,0.286,0.351,0.0,0.121,0.866,164.523,1mXAhKnZEdF6rotyyd4GBi,"funk carioca,funk ostentacao",7035291,MC Kevinho,4
60,6giLMzQSzjxQ7T2kmRhlVb,Piel Canela,Piel Canela,212500,2017-09-25,False,0.734,0.697,6,-6.104,1,0.0326,0.656,0.0,0.124,0.58,120.04,2ae7hwWgesyGJVI2vebofH,"latin rock,mexican indie",99722,Mi Sobrino Memo,4
61,7eKpWdTDReOTNn1mXPyuzf,PJ Masks Theme Song,Here We Come,40000,2017-03-10,False,0.72,0.85,7,-3.939,1,0.0936,0.0827,0.0,0.113,0.405,95.519,1VBbewnHtegBSEB7kRXDzQ,,17488,PJ Masks,4
52,7j4GJDmCiUEPZSu420sNul,Cerca Estás,Cerca Estás,212523,2017-09-08,False,0.433,0.497,8,-5.916,1,0.0287,0.469,0.0,0.13,0.249,143.458,2zF0KCQEt1O4Z9fWVUVi4T,"latin christian,latin worship",844546,Marcela Gandara,4
33,4rT7DCfgHX9wimCxnPy6VE,Soy Un Títere,Sinfónico 45 Años - En Vivo,198650,2017-12-08,False,0.469,0.738,9,-6.098,0,0.194,0.296,0.0,0.976,0.763,199.461,2Htm0q72SjGSmsy8EOIhRG,"cumbia pop,cumbia santafesina,cumbia villera",639288,Los Palmeras,4
65,3z9OnsnvM6SFN2dzrSDdVO,Love Like You (feat. Rebecca Sugar) - End Credits,"Steven Universe, Vol. 1 (Original Soundtrack)",143629,2017-06-02,False,0.591,0.242,0,-10.098,0,0.0312,0.879,0.0,0.15,0.292,118.001,4rF7c8zpCKzuSXohs2HIpA,otacore,442151,Steven Universe,3
59,5wbrX8xNwkrNdXf6lBWvP0,Back to Beautiful,Back to Beautiful,202975,2017-01-27,False,0.603,0.7,6,-5.601,0,0.054,0.314,0.0,0.336,0.56,95.921,7bp2lSdh12wcA8LyB1srfJ,"post-teen pop,social media pop",2153108,Sofia Carson,4
33,0CepuGJmPWyxjU6hqcBO16,Presa Facil / Olvidame - En Vivo,En Vivo en el Gran Rex,246256,2017-09-26,False,0.372,0.899,0,-5.81,1,0.0772,0.397,2.61e-06,0.272,0.91,200.982,6pVmT18pd1QaofDegZUEKX,"argentine rock,cumbia villera",353811,La Nueva Luna,4
65,3TXYRNSjz8txG5rL5H9RWO,Swerve,Swerve,169717,2017-01-18,True,0.918,0.834,0,-6.21,1,0.0935,0.157,1.12e-05,0.0651,0.842,128.006,0vRvGUQVUjytro0xpb26bs,"pop rap,rhode island rap",412346,Arizona Zervas,4
72,56TOfxnRzSRbFRw8J6C4IT,Suicidal Thoughts,Better off Dead,181727,2017-10-19,True,0.372,0.656,1,-6.086,1,0.0776,0.217,0.0,0.418,0.15,140.171,2rWCIhENZyPVDAeFC0ESWN,"emo rap,meme rap",266580,Josh A,4
64,45HAjqRWiNv6mMPw4NvZrU,Come Together,Come Together,193714,2017-09-08,False,0.447,0.788,2,-4.994,0,0.0464,0.00257,1.68e-05,0.0744,0.505,80.04,01aC2ikO4Xgb2LUpf9JfKp,"blues rock,electric blues,funk,modern blues,modern blues rock,rock,soul blues,texas blues",680596,Gary Clark Jr.,4
37,0p4suKrDFZ6xKXhog30vsJ,Luna Llena,Agua Ardiente,221945,2017-05-01,False,0.489,0.349,11,-11.164,0,0.0519,0.722,0.00379,0.117,0.18,91.612,1UnfU05eCWxrY4vWarpeF0,"argentine alternative rock,argentine indie,deep latin alternative,latin rock",91762,Los Espiritus,4
59,3ldtYU2YTeuwWYkMFicLxW,Toda La Vida - MTV Unplugged,MTV Unplugged: Con El Alma Desnuda,281013,2017-10-27,False,0.729,0.813,11,-5.414,0,0.0274,0.0476,1.76e-05,0.971,0.655,113.993,2DmYtFBKcxb3ajwWWgA576,"bolero,latin,latin pop,mexican pop,ranchera,rock en espanol",1171548,Emmanuel,4
35,2GY9e8K33A3Rsvy3x0MJpp,Vicio,El Orígen,199000,2017-01-30,False,0.555,0.895,10,-7.014,0,0.296,0.242,0.0,0.112,0.776,81.101,0bYQe0JDIjxkSHQoXlfngl,"argentine hip hop,rap underground espanol",124292,Acru,4
33,3B8QB5Gj5Q8LaqFTWBSzRB,Me Estás Tratando Mal,Lo Que Nos Une,192200,2017-12-20,False,0.376,0.535,4,-10.368,1,0.0458,0.48,4.78e-06,0.358,0.369,176.051,7Mx1JfcZjBxe68K9d19nA7,,112,Martin Galaz,4
56,6TwcRSQgztJFw8tQDrs35D,The Thrill Of It All,The Thrill Of It All (Special Edition),208903,2017-11-03,False,0.496,0.279,10,-9.18,1,0.052,0.81,6.82e-05,0.11,0.103,127.053,2wY79sveU1sp5g7SokKOiI,"pop,uk pop",12894788,Sam Smith,4
73,1XRgIKC5TPwo7nWGyKqgG0,I Get the Bag (feat. Migos),Mr. Davis,233087,2017-10-13,True,0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,13y7CgLHjMVRMDqxdx0Xdo,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap",3276266,Gucci Mane,4
47,33NsHtCX9YxrIhLMgw33yJ,Bumping (feat. Cráneo & Lasser),Energeia,228965,2017-11-17,True,0.855,0.298,2,-10.971,0,0.401,0.755,0.0356,0.0919,0.577,87.065,13CQT4r2n0PJnFn0O52E2E,trap espanol,7692,Soukin,4
68,5Ss6DqCldgTmIo6BekVOJT,You Say I'm in Love,You Say I'm in Love,176760,2017-01-26,False,0.623,0.285,1,-16.687,0,0.0538,0.427,0.00278,0.189,0.343,140.028,5BCnLrqpwYtufR1bDWn0hG,"bedroom pop,indie garage rock",153991,Banes World,4
41,02Io6R1p3g7HXae5QoOtxo,Signos (SEP7IMO DIA),SEP7IMO DIA,280813,2017-03-10,False,0.426,0.687,4,-8.289,0,0.0393,0.182,0.0992,0.0943,0.23,125.155,7An4yvF7hDYDolN4m5zKBp,"argentine rock,latin alternative,latin rock,post-punk argentina,rock en espanol,ska argentino",4710720,Soda Stereo,4
59,3a9KZagWgkTU2YSsCtlMRl,Rue Vieille Du Temple - Live,Metrópolis (Live),239000,2017-03-03,False,0.545,0.789,9,-5.164,0,0.0262,0.12,2.41e-05,0.752,0.663,149.977,4ClsVDy2g7RKSSlvq8cF6d,"latin alternative,latin rock,rock en espanol",1356180,León Larregui,4
61,3bjLA6ukBcGtvhe5tybxp7,Different,Drifter,177045,2017-05-19,True,0.775,0.294,6,-9.0,0,0.0749,0.895,0.0017,0.0637,0.202,141.015,4dM6NDYSfLcspt8GLoT5aE,edm,512755,Hippie Sabotage,4
48,1zxUzIfKVJqhe4IRAc4ni8,Si Señor,Singles,255893,2017-02-10,False,0.846,0.851,0,-4.316,1,0.212,0.0395,0.000563,0.325,0.696,94.019,628gUkswCfCS1hIOOHmIpK,"chicano rap,latin alternative,latin hip hop,latin rock,mexican hip hop,mexican rock,rock en espanol",685745,Control Machete,4
64,7FESgYLcOufHqKlwrvJN60,Feel It Still,Feel It Still,163250,2017-03-02,False,0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,4kI8Ie27vjvonwaB2ePh8T,"indie pop,indie rock,modern alternative rock,modern rock,rock",1092175,Portugal. The Man,4
63,3h5IIiL9vK5aR0DZO6jD7D,Closer,Chapter One,270589,2017-06-02,False,0.583,0.785,2,-3.991,0,0.0337,0.0012,0.0127,0.124,0.355,91.977,4CTKqs11Zgsv8EZTVzx764,"alternative dance,new french touch,norwegian pop",152884,Lemaitre,4
68,0RTzJVkunbGwuRjXDFHnjf,Dreamer,More Than You Know,251147,2017-07-28,False,0.627,0.847,10,-5.303,1,0.0352,0.0237,0.0,0.212,0.611,126.017,2XnBwblw31dfGnspMIwgWz,"big room,dance pop,edm,electro house,pop,tropical house",2128552,Axwell /\ Ingrosso,4
60,701DK0It9f7iurRnzKvF0y,Helpless,The Search for Everything,249120,2017-04-14,False,0.761,0.598,9,-5.838,0,0.0268,0.151,0.00259,0.0314,0.937,103.978,0hEurMDQu99nJRq8pTxO14,"neo mellow,pop,pop rock,singer-songwriter",4581682,John Mayer,4
53,0M8rrUcBYXa24y3AIKQ19z,Comfortably Numb - Live At Pompeii 2016,Live At Pompeii,599840,2017-09-29,False,0.286,0.641,11,-10.239,0,0.0492,0.0262,0.00384,0.754,0.251,127.188,2FcC4sDMXme2ziI7tGKMK8,"album rock,art rock,classic rock,progressive rock,rock,symphonic rock",1130577,David Gilmour,4
38,3y0oOfJ3UwG2ao0EY5Nvom,Sucede Que a Veces - En Directo,20 Años Hoy Es Siempre (En Directo),333853,2017-10-27,False,0.628,0.472,2,-12.389,1,0.0431,0.372,8.56e-06,0.903,0.346,119.887,4eyF2eDCunzeFykH90Ej34,"cantautor,nueva cancion,trova",222906,Ismael Serrano,4
35,6GsPwtofNFgpFvRBIdks2O,A Mis Abuelos,On the Good Road,313528,2017-06-30,False,0.786,0.655,10,-7.932,1,0.0431,0.288,0.107,0.0947,0.742,120.603,70XauTb6oEJbXxFoH6wY9F,"argentine reggae,argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino,ska jazz",90937,Dancing Mood,4
