geonames_id,lat-lon,lat,lon
3430287.0,"-34.49149,-59.0769",-34.49149,-59.0769
3832733.0,"-29.1431,-62.65248",-29.1431,-62.65248
3430951.0,"-35.18487,-57.68628",-35.18487,-57.68628
6948895.0,"-31.89882,-64.77331",-31.89882,-64.77331
3837029.0,"-34,-66",-34.0,-66.0
3436058.0,"-28.5,-58.83333",-28.5,-58.83333
3856121.0,"-45.33333,-67.33333",-45.33333,-67.33333
3855072.0,"-34.76459,-61.89093",-34.76459,-61.89093
3436038.0,"-34.91667,-57.83333",-34.91667,-57.83333
3835868.0,"-28,-63.5",-28.0,-63.5
3854963.0,"-32.93333,-68.86667",-32.93333,-68.86667
3839304.0,"-31.7,-68.46667",-31.7,-68.46667
3435406.0,"-34.91667,-59.91667",-34.91667,-59.91667
3428373.0,"-37.83333,-57.5",-37.83333,-57.5
3833519.0,"-33.66667,-69.5",-33.66667,-69.5
3840255.0,"-30.98409,-61.02128",-30.98409,-61.02128
3837152.0,"-31,-69",-31.0,-69.0
3841462.0,"-37.66097,-64.14089",-37.66097,-64.14089
3837885.0,"-34,-69",-34.0,-69.0
3427528.0,"-34.63144,-58.49261",-34.63144,-58.49261
3427689.0,"-34.43094,-59.12803",-34.43094,-59.12803
3429933.0,"-34.78401,-58.16105",-34.78401,-58.16105
3836129.0,"-26.66667,-66.41667",-26.66667,-66.41667
6693229.0,"-34.60502,-58.37607",-34.60502,-58.37607
3866667.0,"-31.06661,-64.30017",-31.06661,-64.30017
3430867.0,"-34.83333,-58.83333",-34.83333,-58.83333
3833675.0,"-43.0858,-71.46386",-43.0858,-71.46386
3433723.0,"-34.76918,-58.64802",-34.76918,-58.64802
3845391.0,"-26.9277,-65.33869",-26.9277,-65.33869
3839303.0,"-43.12342,-65.10179",-43.12342,-65.10179
3846269.0,"-43.16667,-71.75",-43.16667,-71.75
3838873.0,"-33.33333,-64.5",-33.33333,-64.5
3836586.0,"-33.02887,-68.59729",-33.02887,-68.59729
3433898.0,"-26,-58.5",-26.0,-58.5
3863596.0,"-38.48421,-61.89541",-38.48421,-61.89541
3833412.0,"-31.23073,-64.31615",-31.23073,-64.31615
3853510.0,"-30.98153,-64.09424",-30.98153,-64.09424
3860705.0,"-31.23639,-64.06858",-31.23639,-64.06858
3855075.0,"-35.65662,-63.75682",-35.65662,-63.75682
3844229.0,"-31.72101,-65.00619",-31.72101,-65.00619
3433325.0,"-34.91224,-58.01557",-34.91224,-58.01557
3845365.0,"-31.64751,-63.34323",-31.64751,-63.34323
3430759.0,"-28,-58.25",-28.0,-58.25
3845944.0,"-31.85466,-64.37864",-31.85466,-64.37864
3838294.0,"-31.30262,-64.307",-31.30262,-64.307
3837441.0,"-31.89618,-61.85984",-31.89618,-61.85984
3841678.0,"-35.91667,-61.75",-35.91667,-61.75
3428927.0,"-38.17633,-59.00728",-38.17633,-59.00728
3433839.0,"-26.81768,-54.95665",-26.81768,-54.95665
3862546.0,"-32.55501,-66.09285",-32.55501,-66.09285
3832708.0,"-32.61849,-64.98001",-32.61849,-64.98001
3843122.0,"-39,-70",-39.0,-70.0
3431949.0,"-34.64019,-58.82465",-34.64019,-58.82465
3429902.0,"-34.74785,-58.70072",-34.74785,-58.70072
3833883.0,"-43.24895,-65.30505",-43.24895,-65.30505
3832800.0,"-27.52655,-65.61472",-27.52655,-65.61472
3855282.0,"-43.33333,-66.33333",-43.33333,-66.33333
3840300.0,"-26.78522,-60.43876",-26.78522,-60.43876
3842142.0,"-26.50517,-61.17436",-26.50517,-61.17436
3853352.0,"-33.133,-68.52157",-33.133,-68.52157
3854444.0,"-51.33333,-70.33333",-51.33333,-70.33333
3853404.0,"-23,-66",-23.0,-66.0
3860801.0,"-31.01978,-64.06519",-31.01978,-64.06519
3435214.0,"-29,-58",-29.0,-58.0
3847933.0,"-32.68478,-61.51637",-32.68478,-61.51637
3836276.0,"-31,-61",-31.0,-61.0
3839262.0,"-31.49076,-60.73299",-31.49076,-60.73299
3435217.0,"-27.46784,-58.8344",-27.46784,-58.8344
3847836.0,"-32.47661,-61.58041",-32.47661,-61.58041
3436249.0,"-34.88952,-58.12579",-34.88952,-58.12579
3834309.0,"-36.58333,-64.8",-36.58333,-64.8
3839667.0,"-36.25,-63.75",-36.25,-63.75
3838822.0,"-31.08333,-63.5",-31.08333,-63.5
3430876.0,"-34.49179,-58.87001",-34.49179,-58.87001
3848676.0,"-31.82265,-64.97304",-31.82265,-64.97304
3859827.0,"-30.75,-65",-30.75,-65.0
3833650.0,"-31.55,-68.51667",-31.55,-68.51667
3843843.0,"-38.9825,-61.29472",-38.9825,-61.29472
3861244.0,"-44,-69",-44.0,-69.0
3835046.0,"-35.54829,-63.81811",-35.54829,-63.81811
3847613.0,"-31.87208,-62.71946",-31.87208,-62.71946
3853745.0,"-35.23383,-63.59205",-35.23383,-63.59205
3833878.0,"-35.66667,-64.25",-35.66667,-64.25
3429688.0,"-34.80954,-57.98455",-34.80954,-57.98455
6942842.0,"-31.28182,-61.41092",-31.28182,-61.41092
3436091.0,"-38.0085,-57.70967",-38.0085,-57.70967
3832899.0,"-40.81345,-62.99668",-40.81345,-62.99668
3856657.0,"-32.86314,-68.74313",-32.86314,-68.74313
3428050.0,"-34.68324,-58.35117",-34.68324,-58.35117
3843788.0,"-31.5167,-60.67677",-31.5167,-60.67677
3860427.0,"-27.34127,-65.59636",-27.34127,-65.59636
3861056.0,"-38.93392,-67.99032",-38.93392,-67.99032
3837232.0,"-31.60426,-60.56761",-31.60426,-60.56761
3428973.0,"-30.33333,-59.91667",-30.33333,-59.91667
3857722.0,"-31.07779,-64.29832",-31.07779,-64.29832
3864261.0,"-31.31313,-64.46015",-31.31313,-64.46015
3863890.0,"-31.55813,-64.19385",-31.55813,-64.19385
3842621.0,"-31.91353,-63.68201",-31.91353,-63.68201
3832773.0,"-31.70578,-65.01796",-31.70578,-65.01796
3851331.0,"-31.08841,-64.48987",-31.08841,-64.48987
3844994.0,"-31.84434,-63.74721",-31.84434,-63.74721
3851072.0,"-31.00919,-64.26869",-31.00919,-64.26869
3833211.0,"-31.11732,-64.48084",-31.11732,-64.48084
3844159.0,"-30.91859,-62.67814",-30.91859,-62.67814
3832662.0,"-32.43293,-63.24763",-32.43293,-63.24763
3865352.0,"-30.96655,-64.27039",-30.96655,-64.27039
3855679.0,"-31.58548,-64.46113",-31.58548,-64.46113
3866237.0,"-32.19296,-64.25559",-32.19296,-64.25559
3844759.0,"-30.99471,-62.82576",-30.99471,-62.82576
3832809.0,"-31.73105,-64.4063",-31.73105,-64.4063
3841149.0,"-31.6789,-63.87964",-31.6789,-63.87964
3838796.0,"-31.75,-63.5",-31.75,-63.5
3854008.0,"-31.07524,-64.49063",-31.07524,-64.49063
3859429.0,"-31.81626,-64.28989",-31.81626,-64.28989
3832784.0,"-31.07498,-64.31577",-31.07498,-64.31577
3842662.0,"-32.04158,-63.56978",-32.04158,-63.56978
3842796.0,"-30.78128,-63.41349",-30.78128,-63.41349
3846258.0,"-30.92497,-64.50207",-30.92497,-64.50207
3835207.0,"-30.944,-64.08811",-30.944,-64.08811
3863346.0,"-32.02821,-64.46891",-32.02821,-64.46891
3832741.0,"-30.89376,-63.11534",-30.89376,-63.11534
3832705.0,"-31.95021,-65.05354",-31.95021,-65.05354
3861887.0,"-26.33333,-60.5",-26.33333,-60.5
3429610.0,"-35.51601,-58.3188",-35.51601,-58.3188
