geonames_id,lat-lon,lat,lon
3852393.0,"-24.60477,-65.38181",-24.60477,-65.38181
3837456.0,"-31.55097,-61.07735",-31.55097,-61.07735
3840905.0,"-30.89967,-62.76665",-30.89967,-62.76665
3435732.0,"-27.5,-55.5",-27.5,-55.5
3430595.0,"-34.72978,-58.35329",-34.72978,-58.35329
3429247.0,"-34.24236,-59.46899",-34.24236,-59.46899
3427366.0,"-34.66072,-58.44387",-34.66072,-58.44387
3435217.0,"-27.46784,-58.8344",-27.46784,-58.8344
3837821.0,"-30.33333,-61.33333",-30.33333,-61.33333
3853705.0,"-32.63333,-61.33333",-32.63333,-61.33333
3430878.0,"-34.40425,-59.00854",-34.40425,-59.00854
3435612.0,"-32.46325,-58.47872",-32.46325,-58.47872
3833412.0,"-31.23073,-64.31615",-31.23073,-64.31615
3832778.0,"-33.22778,-60.3297",-33.22778,-60.3297
3839982.0,"-38.87588,-62.07359",-38.87588,-62.07359
3435446.0,"-35.47745,-57.9776",-35.47745,-57.9776
3856210.0,"-33.26038,-60.37939",-33.26038,-60.37939
3427212.0,"-34,-59.16667",-34.0,-59.16667
3431204.0,"-34.32814,-58.98432",-34.32814,-58.98432
3433974.0,"-34.74849,-58.23078",-34.74849,-58.23078
3854454.0,"-27.30838,-65.29338",-27.30838,-65.29338
3430679.0,"-34.84104,-58.36619",-34.84104,-58.36619
3431325.0,"-34.79302,-58.42626",-34.79302,-58.42626
3832698.0,"-36.6,-61.36667",-36.6,-61.36667
3436022.0,"-34.57301,-58.59175",-34.57301,-58.59175
3840885.0,"-38.96667,-68.23333",-38.96667,-68.23333
3843919.0,"-32.35692,-60.94193",-32.35692,-60.94193
3427383.0,"-34.62077,-58.5224",-34.62077,-58.5224
3436521.0,"-34.98515,-58.08922",-34.98515,-58.08922
3843788.0,"-31.5167,-60.67677",-31.5167,-60.67677
3860198.0,"-38.66667,-61.16667",-38.66667,-61.16667
3431350.0,"-34.04468,-59.19659",-34.04468,-59.19659
3433922.0,"-34.83333,-58.25",-34.83333,-58.25
