geonames_id,lat,lat-lon,lon,place_name
3427408.0,-34.67907,"-34.67907,-58.47263",-58.47263,Villa Lugano
3435465.0,-38.03522,"-38.03522,-57.71086",-57.71086,Chapadmalal
3427399.0,-31.66565,"-31.66565,-59.90182",-59.90182,Villa María Grande
3847955.0,-31.37754,"-31.37754,-65.29048",-65.29048,Las Palmas
3435376.0,-34.63983,"-34.63983,-58.54246",-58.54246,Ciudadela
3846258.0,-30.92497,"-30.92497,-64.50207",-64.50207,Los Cocos
3427405.0,-34.69053,"-34.69053,-58.50118",-58.50118,Villa Madero
3435689.0,-34.16667,"-34.16667,-59.83333",-59.83333,Partido de Capitán Sarmiento
3431239.0,-38.11605,"-38.11605,-57.60019",-57.60019,Los Acantilados
3838822.0,-31.08333,"-31.08333,-63.5",-63.5,Departamento de Río Primero
3864878.0,-38.99726,"-38.99726,-61.55225",-61.55225,Balneario Pehuén-Có
3427776.0,-34.77988,"-34.77988,-58.40312",-58.40312,Temperley
3435789.0,-27.2077,"-27.2077,-54.97977",-54.97977,Campo Grande
3429160.0,-36.35694,"-36.35694,-56.72351",-56.72351,San Clemente del Tuyú
3430705.0,-34.66667,"-34.66667,-59.41667",-59.41667,Partido de Mercedes
3430657.0,-26.81427,"-26.81427,-54.34387",-54.34387,Misiones Province
3435260.0,-31.21345,"-31.21345,-58.16274",-58.16274,Departamento de Concordia
3852240.0,-32.82374,"-32.82374,-66.10326",-66.10326,La Carolina
3838793.0,-32.17301,"-32.17301,-64.11405",-64.11405,Río Tercero
3433947.0,-30.41667,"-30.41667,-58.75",-58.75,Departamento de Feliciano
3842670.0,-36.89272,"-36.89272,-60.32254",-60.32254,Olavarría
3838715.0,-37.15,"-37.15,-60.98333",-60.98333,Rocha
3427387.0,-34.57973,"-34.57973,-58.46829",-58.46829,Villa Ortúzar
3838830.0,-40.0,"-40,-67",-67.0,Río Negro Province
3861244.0,-44.0,"-44,-69",-69.0,Chubut Province
3431949.0,-34.64019,"-34.64019,-58.82465",-58.82465,La Reja
3436394.0,-34.83333,"-34.83333,-58.33333",-58.33333,Partido de Almirante Brown
3433424.0,-34.7,"-34.7,-58.58745",-58.58745,Isidro Casanova
3435029.0,-35.07223,"-35.07223,-58.28554",-58.28554,Domselaar
3428455.0,-27.3674,"-27.3674,-55.58091",-55.58091,Santa Ana
3433787.0,-34.45256,"-34.45256,-58.64312",-58.64312,General Pacheco
3836128.0,-31.66667,"-31.66667,-64.33333",-64.33333,Departamento de Santa María
3430869.0,-37.5,"-37.5,-57.75",-57.75,Partido de Mar Chiquita
3430865.0,-37.77072,"-37.77072,-57.45118",-57.45118,Mar de Cobo
3836188.0,-31.53333,"-31.53333,-68.46667",-68.46667,Departamento de Santa Lucía
3863502.0,-26.08333,"-26.08333,-65.83333",-65.83333,Cafayate
3853938.0,-32.8609,"-32.8609,-60.77245",-60.77245,Ibarlucea
3842662.0,-32.04158,"-32.04158,-63.56978",-63.56978,Oliva
3865352.0,-30.96655,"-30.96655,-64.27039",-64.27039,Ascochinga
3853509.0,-32.6672,"-32.6672,-60.79298",-60.79298,Timbúes
3431366.0,-34.68987,"-34.68987,-58.68682",-58.68682,Libertad
3841684.0,-39.50254,"-39.50254,-62.68169",-62.68169,Pedro Luro
3849298.0,-37.5,"-37.5,-60.75",-60.75,Partido de Laprida
3833365.0,-54.62912,"-54.62912,-67.8962",-67.8962,Departamento de Ushuaia
3433821.0,-38.16667,"-38.16667,-58.08333",-58.08333,Partido de General Alvarado
3852393.0,-24.60477,"-24.60477,-65.38181",-65.38181,La Caldera
3837456.0,-31.55097,"-31.55097,-61.07735",-61.07735,San Jerónimo Norte
3840905.0,-30.89967,"-30.89967,-62.76665",-62.76665,Playa Grande
3435732.0,-27.5,"-27.5,-55.5",-55.5,Departamento de Candelaria
3430595.0,-34.72978,"-34.72978,-58.35329",-58.35329,Monte Chingolo
3429247.0,-34.24236,"-34.24236,-59.46899",-59.46899,San Antonio de Areco
3427366.0,-34.66072,"-34.66072,-58.44387",-58.44387,Villa Soldati
3435217.0,-27.46784,"-27.46784,-58.8344",-58.8344,Corrientes
3837821.0,-30.33333,"-30.33333,-61.33333",-61.33333,Departamento de San Cristóbal
3853705.0,-32.63333,"-32.63333,-61.33333",-61.33333,Iriondo Department
3430878.0,-34.40425,"-34.40425,-59.00854",-59.00854,Manzanares
3435612.0,-32.46325,"-32.46325,-58.47872",-58.47872,Caseros
3833412.0,-31.23073,"-31.23073,-64.31615",-64.31615,Unquillo
3832778.0,-33.22778,"-33.22778,-60.3297",-60.3297,Villa Constitución
3839982.0,-38.87588,"-38.87588,-62.07359",-62.07359,Punta Alta
3435446.0,-35.47745,"-35.47745,-57.9776",-57.9776,Partido de Chascomús
3856210.0,-33.26038,"-33.26038,-60.37939",-60.37939,Empalme Villa Constitución
3427212.0,-34.0,"-34,-59.16667",-59.16667,Partido de Zárate
3431204.0,-34.32814,"-34.32814,-58.98432",-58.98432,Los Cardales
3433974.0,-34.74849,"-34.74849,-58.23078",-58.23078,Ezpeleta
3854454.0,-27.30838,"-27.30838,-65.29338",-65.29338,Güemes
3430679.0,-34.84104,"-34.84104,-58.36619",-58.36619,Ministro Rivadavia
3431325.0,-34.79302,"-34.79302,-58.42626",-58.42626,Llavallol
3832698.0,-36.6,"-36.6,-61.36667",-61.36667,Villa Lynch
3436022.0,-34.57301,"-34.57301,-58.59175",-58.59175,Billinghurst
3840885.0,-38.96667,"-38.96667,-68.23333",-68.23333,Plottier
3843919.0,-32.35692,"-32.35692,-60.94193",-60.94193,Monje
3427383.0,-34.62077,"-34.62077,-58.5224",-58.5224,Villa Real
3436521.0,-34.98515,"-34.98515,-58.08922",-58.08922,Abasto
3843788.0,-31.5167,"-31.5167,-60.67677",-60.67677,Monte Vera
3860198.0,-38.66667,"-38.66667,-61.16667",-61.16667,Partido de Coronel Dorrego
3431350.0,-34.04468,"-34.04468,-59.19659",-59.19659,Lima
3433922.0,-34.83333,"-34.83333,-58.25",-58.25,Partido de Florencio Varela
3839262.0,-31.49076,"-31.49076,-60.73299",-60.73299,Recreo
3435055.0,-34.35886,"-34.35886,-58.68742",-58.68742,Dique Luján
3855075.0,-35.65662,"-35.65662,-63.75682",-63.75682,General Pico
3436197.0,-36.75,"-36.75,-59.66667",-59.66667,Partido de Azul
3841488.0,-33.75,"-33.75,-60.58333",-60.58333,Partido de Pergamino
3865991.0,-33.13032,"-33.13032,-60.80393",-60.80393,Álvarez
3433958.0,-30.66667,"-30.66667,-58.33333",-58.33333,Departamento de Federación
3835910.0,-33.43761,"-33.43761,-60.78974",-60.78974,Santa Teresa
3834182.0,-38.25,"-38.25,-62.25",-62.25,Partido de Tornquist
3864261.0,-31.31313,"-31.31313,-64.46015",-64.46015,Bialet Massé
3435280.0,-38.11415,"-38.11415,-57.83809",-57.83809,"Comandante Nicanor Otamendi, Republica de Dubai"
3429496.0,-34.88936,"-34.88936,-57.98805",-57.98805,Ringuelet
3838750.0,-31.5645,"-31.5645,-68.65219",-68.65219,Departamento de Rivadavia
3436426.0,-34.70754,"-34.70754,-58.51826",-58.51826,Aldo Bonzi
3435962.0,-35.25,"-35.25,-58.16667",-58.16667,Partido de Brandsen
3838560.0,-24.58333,"-24.58333,-65.83333",-65.83333,Departamento de Rosario de Lerma
3837232.0,-31.60426,"-31.60426,-60.56761",-60.56761,San José del Rincón
3433964.0,-34.43704,"-34.43704,-58.98743",-58.98743,Fátima
3866237.0,-32.19296,"-32.19296,-64.25559",-64.25559,Almafuerte
3835868.0,-28.0,"-28,-63.5",-63.5,Santiago del Estero Province
